ARG	feature	score_RF	score_Odds
K19077	K02039	9.86248704119932e-06	0.0880597043651692
K19077	K02056	0.0001568327700864	0.6123787336576048
K19077	K02067	0.0007817755286064	-0.960824890196738
K19077	K02071	0.0003113246601414	0.6761495531146416
K19077	K02072	0.000190043483563	0.6701137069925893
K19077	K02074	9.016911816874556e-16	-0.0679384687868501
K19077	K02075	2.1673754000732141e-16	-0.1356004035979419
K19077	K02099	0.0278139197112335	1.3366642659747834
K19077	K02116	0.0103642765660552	1.078293711759494
K19077	K02167	2.2045061299305914e-16	-0.1674621804310328
K19077	K02169	3.2709126490614436e-16	-0.2358144417993297
K19077	K02171	0.0008549061549944	0.7405878050472654
K19077	K02192	8.215038161733218e-16	-0.2984781569153443
K19077	K02194	3.526331993914012e-16	-0.5293374936854387
K19077	K02198	3.8052492031489283e-16	-0.534988128303379
K19077	K02199	0.0146333941560248	-1.2502959593719047
K19077	K02200	1.5042115196793331e-16	-0.3999371182241219
K19077	K02204	2.0882111287726024e-16	-0.2072989571368428
K19077	K02224	0.0009634403924947	0.5362944366760225
K19077	K02227	0.0010265643335505	-0.0861466584348341
K19077	K02231	0.0010086203440912	-0.1066698066995844
K19077	K02232	0.0007829089845182	0.4028113422552443
K19077	K02259	0.0012194094151857	-1.0086614938705336
K19077	K02274	3.318695588418556e-05	-0.7712397817792078
K19077	K02277	3.247711400818736e-16	-0.1575395689447553
K19077	K02279	9.798726473032304e-05	-0.5561282972518065
K19077	K02291	6.948848348308593e-05	-0.643047425394033
K19077	K02299	8.857350007410034e-16	-0.1577904186589143
K19077	K02302	2.113012973874673e-16	-0.3927256558531546
K19077	K02303	0.0011680674574919	0.2769944393709368
K19077	K02348	6.220738199602762e-06	-0.5728528024180268
K19077	K02351	5.043881938958025e-16	-0.2174386447683952
K19077	K02372	4.958773484054878e-05	0.1136840943849684
K19077	K02386	2.1240141521381653e-05	-0.5052250483192678
K19077	K02387	0.0016378139653998	0.4469287789511734
K19077	K02388	0.0014199354721274	0.4409625446605133
K19077	K02389	0.0007803676026977	-0.0322738932976253
K19077	K02390	0.0007019639630703	0.0206026086782019
K19077	K02391	3.143318983442293e-16	-0.3809881275901148
K19077	K02392	0.0007137477595435	0.030015455421675
K19077	K02394	1.611009549853648e-05	-0.5248828083159656
K19077	K02396	0.0014367068953027	0.4466595457288419
K19077	K02398	0.0029613800833183	0.7158958411908698
K19077	K02400	0.0012513418872144	0.4393408801111768
K19077	K02401	0.0012573617278033	0.4718204314113932
K19077	K02406	0.0015176281567191	0.4679394647131056
K19077	K02407	0.0014704767343483	0.6203033695833978
K19077	K02408	0.0013508169170527	0.441022449190612
K19077	K02409	0.0013032625829592	0.4408043316560048
K19077	K02410	0.0007472429885521	-0.0314678385704897
K19077	K02415	0.0007584976624	0.0302481289563492
K19077	K02416	0.0007898175543593	0.0203380608381784
